City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Nelson Bay,90,AU,1584160813,93,-32.72,152.15,64.0,21.92
Kincardine,40,GB,1584160662,80,56.07,-3.72,41.0,6.93
Concepción del Oro,86,MX,1584160813,44,24.63,-101.42,66.51,11.32
Payakumbuh,42,ID,1584160813,57,-0.22,100.63,83.68,4.9
Lakatoro,100,VU,1584160814,75,-16.1,167.42,89.6,5.82
Upernavik,100,GL,1584160814,97,72.79,-56.15,-11.85,5.77
Praia da Vitória,20,PT,1584160814,87,38.73,-27.07,55.4,3.24
Haren,8,DE,1584160814,92,52.78,7.23,33.01,4.7
Narsaq,98,GL,1584160719,79,60.92,-46.05,19.4,1.32
St. George's,20,GD,1584160761,83,12.06,-61.75,77.0,2.24
Røros,73,NO,1584160814,85,62.57,11.38,15.8,5.82
Fairbanks,1,US,1584160725,71,64.84,-147.72,16.0,2.08
East London,12,ZA,1584160815,94,-33.02,27.91,69.8,9.17
Nikolskoye,100,RU,1584160721,53,59.7,30.79,24.8,11.18
Bhadrak,16,IN,1584160815,37,21.06,86.51,91.42,8.46
Kaeo,7,NZ,1584160815,72,-35.1,173.78,70.0,11.01
Saryozek,12,KZ,1584160815,35,44.36,77.98,52.05,6.2
Tuktoyaktuk,90,CA,1584160815,85,69.45,-133.04,21.2,29.97
Bahía Blanca,25,AR,1584160815,29,-38.72,-62.27,63.09,10.63
Sambava,100,MG,1584160815,93,-14.27,50.17,76.44,3.31
Chui,0,UY,1584160816,88,-33.7,-53.46,70.23,9.08
Olafsvik,100,IS,1584160816,73,64.89,-23.71,26.85,24.18
Zhob,1,PK,1584160816,40,31.34,69.45,55.04,6.98
Ukiah,90,US,1584160816,70,39.15,-123.21,50.0,11.41
Tarakan,59,ID,1584160816,68,3.3,117.63,84.38,11.3
São Filipe,100,CV,1584160816,59,14.9,-24.5,74.35,12.01
Yar-Sale,100,RU,1584160816,99,66.83,70.83,32.25,11.88
Ruston,90,US,1584160816,93,32.52,-92.64,55.4,4.7
Llandrindod Wells,89,GB,1584160816,95,52.24,-3.38,45.0,4.45
Adeje,20,ES,1584160816,63,28.12,-16.73,64.99,9.17
Kemin,33,KG,1584160817,34,42.78,75.69,45.45,0.94
Castro,67,BR,1584160443,90,-24.79,-50.01,56.95,3.98
Bengkulu,100,ID,1584160817,73,-3.8,102.27,85.78,6.2
Clyde River,75,CA,1584160817,82,70.47,-68.59,-16.6,12.75
San Ignacio,12,BZ,1584160817,78,17.16,-89.07,75.2,6.93
Lompoc,90,US,1584160804,76,34.64,-120.46,55.99,6.93
Yankton,90,US,1584160817,59,42.87,-97.4,36.0,5.82
Bathsheba,75,BB,1584160359,83,13.22,-59.52,77.0,19.46
Sechura,18,PE,1584160817,87,-5.56,-80.82,74.77,6.24
Barentu,100,ER,1584160818,40,15.11,37.59,74.68,7.0
Westport,1,US,1584160818,29,41.14,-73.36,52.0,17.22
Ancud,7,CL,1584160818,100,-41.87,-73.82,44.6,3.04
Upington,0,ZA,1584160818,51,-28.45,21.26,59.0,5.82
Heihe,75,CN,1584160818,67,50.24,127.49,21.2,6.71
Kamenka,100,RU,1584160818,91,51.32,42.77,36.0,5.01
Srednekolymsk,49,RU,1584160752,90,67.45,153.68,-12.46,7.18
Mehrān,90,IR,1584160818,100,33.12,46.16,41.0,6.93
Ribeira Grande,81,PT,1584160725,79,38.52,-28.7,55.56,5.01
Leningradskiy,6,RU,1584160697,98,69.38,178.42,-6.23,6.04
Suntar,38,RU,1584160819,84,62.14,117.63,3.02,6.67
Starachowice,30,PL,1584160819,75,51.04,21.07,39.0,20.0
Gwadar,20,PK,1584160819,56,25.12,62.33,74.59,1.88
Constitución,14,CL,1584160819,77,-35.33,-72.42,57.58,5.73
Boddam,90,GB,1584160819,75,57.47,-1.78,42.01,20.8
Coyhaique,4,CL,1584160819,70,-45.58,-72.07,48.2,2.24
Liverpool,75,GB,1584160819,93,53.41,-2.98,44.6,9.17
Ust-Tsilma,93,RU,1584160820,94,65.44,52.15,24.35,6.85
Bogandé,0,BF,1584160820,12,12.97,-0.14,72.95,9.48
Ulladulla,90,AU,1584160820,63,-35.35,150.47,60.8,13.87
Nantucket,1,US,1584160625,81,41.28,-70.1,46.4,8.05
Mana,27,GF,1584160820,93,5.66,-53.78,73.13,2.64
Poum,98,NC,1584160238,77,-20.23,164.02,82.69,9.37
Kon Tum,45,VN,1584160805,21,14.35,108.0,95.0,9.53
Lakes Entrance,99,AU,1584160820,53,-37.88,147.98,62.01,4.0
Guatire,41,VE,1584160820,98,10.48,-66.54,66.0,3.36
Tiksi,0,RU,1584160776,79,71.69,128.87,-16.42,4.72
Vestmanna,100,FO,1584160589,86,62.16,-7.17,37.4,14.99
Hanmer Springs,0,NZ,1584160821,59,-42.52,172.82,65.21,3.18
Baoning,88,CN,1584160821,45,25.34,110.03,68.0,13.42
Bolobo,14,CD,1584160821,79,-2.17,16.23,74.79,2.95
Te Anau,100,NZ,1584160821,73,-45.42,167.72,59.59,1.54
Tuatapere,84,NZ,1584160821,67,-46.13,167.68,60.6,1.57
Tromsø,75,NO,1584160545,92,69.65,18.96,19.4,2.24
Tasiilaq,96,GL,1584160720,77,65.61,-37.64,5.0,1.12
Tabas,91,IR,1584160425,15,33.6,56.92,60.8,5.86
Kumul,39,CN,1584160744,14,42.8,93.45,47.89,7.23
Atambua,68,ID,1584160822,70,-9.11,124.89,82.62,6.2
Maksatikha,70,RU,1584160822,73,57.8,35.88,29.64,6.42
Ilulissat,100,GL,1584160822,71,69.22,-51.1,3.2,16.11
Cockburn Town,27,TC,1584160619,79,21.46,-71.14,76.66,20.38
Riyadh,90,SA,1584160703,23,24.69,46.72,73.4,14.99
Hamilton,1,US,1584160781,80,39.18,-84.53,42.01,3.2
Bull Savanna,3,JM,1584160823,77,17.89,-77.59,65.17,5.23
Erciş,75,TR,1584160823,86,39.03,43.36,41.0,4.7
Corinth,3,GR,1584160823,76,37.94,22.96,55.99,2.37
Micheweni,84,TZ,1584160823,74,-4.97,39.83,84.74,7.56
Pisco,73,PE,1584160823,78,-13.7,-76.22,75.0,2.24
Assiut,0,EG,1584160823,51,27.18,31.18,60.19,16.82
Dalbandin,0,PK,1584160824,17,28.89,64.41,66.52,4.85
Bedford,90,GB,1584160756,93,52.13,-0.47,44.6,10.29
Haimen,90,CN,1584160824,88,23.19,116.61,66.2,6.71
Shubarshi,67,KZ,1584160824,56,48.59,57.19,43.38,16.44
Abu Samrah,100,SY,1584160824,73,35.3,37.18,56.66,14.36
Natal,40,BR,1584160683,94,-5.79,-35.21,75.2,10.29
Pailón,22,BO,1584160824,78,-17.65,-62.75,80.6,5.82
Wagga Wagga,90,AU,1584160624,46,-35.12,147.37,69.8,5.82
Kagadi,100,UG,1584160825,64,0.96,30.8,73.96,2.21
Guánica,90,PR,1584160825,77,17.97,-66.91,75.2,3.36
Hobart,75,AU,1584160642,47,-42.88,147.33,62.01,13.87
Chiredzi,2,ZW,1584160825,64,-21.05,31.67,78.06,1.79
Port Keats,36,AU,1584160820,45,-14.25,129.55,93.99,7.67
Cayenne,90,GF,1584160825,78,4.93,-52.33,80.6,9.17
Fortuna,90,US,1584160825,93,40.6,-124.16,48.0,11.41
Iqaluit,5,CA,1584160825,67,63.75,-68.51,-25.01,11.41
Yarmouth,1,US,1584160613,52,41.71,-70.23,46.99,5.82
Masuguru,99,TZ,1584160826,89,-11.37,38.42,78.13,0.38
Nichinan,20,JP,1584160826,46,31.6,131.37,64.4,25.28
Torbay,90,CA,1584160826,79,47.67,-52.73,28.0,16.11
Klaksvík,100,FO,1584160826,86,62.23,-6.59,37.4,14.99
Seoul,1,KR,1584160301,28,37.57,126.98,48.2,5.82
Hofn,36,IS,1584160494,67,64.25,-15.21,31.98,14.58
Bartlesville,90,US,1584160800,65,36.75,-95.98,46.4,11.41
Korla,16,CN,1584160387,33,41.76,86.15,34.3,3.38
Hammerfest,100,NO,1584160826,67,70.66,23.68,17.6,34.45
Ruteng,34,ID,1584160827,65,-8.61,120.47,82.49,6.69
Freeport,20,US,1584160572,37,40.66,-73.58,52.0,23.04
Okhotsk,100,RU,1584160827,75,59.38,143.3,11.55,13.96
Teya,100,RU,1584160606,86,60.38,92.63,31.26,8.57
Doha,100,QA,1584160827,64,25.29,51.53,75.99,9.17
Kropotkin,64,RU,1584160827,65,45.44,40.58,54.73,13.53
Prince Rupert,1,CA,1584160599,36,54.32,-130.32,28.4,9.17
Ýpsonas,40,CY,1584160550,82,34.69,32.96,61.0,5.82
Tegul'det,100,RU,1584160828,84,57.31,88.17,30.69,10.27
Springfield,90,US,1584160418,52,37.22,-93.3,44.01,12.75
Winnemucca,1,US,1584160828,27,40.97,-117.74,53.6,17.22
Kayes,0,ML,1584160828,9,14.0,-11.0,71.31,1.92
Kidal,0,ML,1584160828,16,18.44,1.41,67.8,11.3
Malindi,58,KE,1584160828,73,-3.22,40.12,84.07,7.05
Djibouti,75,DJ,1584160828,65,11.5,42.5,78.49,17.07
Kenai,1,US,1584160774,44,60.55,-151.26,24.8,6.93
Rørvik,100,NO,1584160829,57,64.86,11.24,31.73,12.28
Lagoa,69,PT,1584160829,73,39.05,-27.98,60.04,8.28
Chifeng,0,CN,1584160744,31,42.27,118.96,38.28,22.79
Den Helder,90,NL,1584160773,86,52.96,4.76,41.0,9.17
Buenaventura,90,CO,1584160829,96,3.88,-77.03,73.42,0.69
Deputatsky,0,RU,1584160773,83,69.3,139.9,-17.37,1.88
Saint Paul Harbor,1,US,1584160829,68,57.79,-152.41,30.2,4.7
Half Moon Bay,90,US,1584160829,87,37.46,-122.43,55.4,8.05
Kaitangata,10,NZ,1584160719,85,-46.28,169.85,55.35,9.55
Caravelas,61,BR,1584160644,75,-17.71,-39.25,79.63,3.29
San Jerónimo,71,PE,1584160830,89,-11.95,-75.28,40.3,1.72
Urucará,75,BR,1584160830,93,-2.54,-57.76,74.82,1.5
Adrar,0,MR,1584160830,14,20.5,-10.07,61.74,4.12
Berlevåg,100,NO,1584160749,65,70.86,29.09,20.12,16.37
Sola,100,VU,1584160830,76,-13.88,167.55,84.88,13.2
Izumo,40,JP,1584160830,76,35.37,132.77,48.2,6.93
Necochea,90,AR,1584160830,97,-38.55,-58.74,69.01,4.0
Blagoyevo,100,RU,1584160830,94,63.37,47.92,27.03,5.88
Hudiksvall,0,SE,1584160831,52,61.73,17.1,24.17,12.44
Redan,90,US,1584160831,88,33.75,-84.13,64.4,0.89
Praia,90,CV,1584160412,20,14.92,-23.51,77.0,10.29
Katima Mulilo,55,NA,1584160831,94,-17.5,24.27,68.0,4.76
Sunrise Manor,90,US,1584160831,66,36.21,-115.07,57.2,11.41
Marzuq,61,YE,1584160733,13,14.4,46.47,79.11,8.21
Grand Gaube,75,MU,1584160831,94,-20.01,57.66,82.99,2.24
Rawson,42,AR,1584160831,54,-43.3,-65.1,63.01,36.84
Haines Junction,74,CA,1584160831,62,60.75,-137.51,6.22,0.56
Fort Saint James,0,CA,1584160707,81,54.43,-124.25,-3.55,8.59
San Patricio,0,MX,1584160832,85,19.22,-104.7,75.02,5.44
Tual,54,ID,1584160832,75,-5.67,132.75,82.98,15.59
Luanda,40,AO,1584160779,88,-8.84,13.23,80.6,4.7
Pokhara,33,NP,1584160672,26,28.23,83.98,80.62,3.62
Krasnyy Oktyabr',63,RU,1584160832,84,56.12,38.88,36.03,7.74
Maceió,75,BR,1584160832,94,-9.67,-35.74,77.0,3.36
Bijie,97,CN,1584160832,73,27.31,105.29,51.46,6.11
Beringovskiy,100,RU,1584160809,76,63.05,179.32,16.57,6.26
Tura,99,IN,1584160832,28,25.52,90.22,91.06,7.0
Butajīra,97,ET,1584160833,71,8.12,38.37,67.91,2.62
Filimonovo,14,RU,1584160833,96,56.2,95.46,33.19,8.84
Lundazi,100,ZM,1584160833,91,-12.29,33.18,69.24,6.67
Hithadhoo,14,MV,1584160715,57,-0.6,73.08,83.8,5.39
Severo-Yeniseyskiy,98,RU,1584160833,87,60.37,93.04,31.39,9.28
Katherine,40,AU,1584160548,30,-14.47,132.27,96.8,6.93
Nemuro,20,JP,1584160833,43,43.32,145.57,35.6,8.05
Wonthaggi,77,AU,1584160833,55,-38.6,145.59,64.99,13.0
Ratnagiri,23,IN,1584160746,14,16.98,73.3,98.47,4.03
Kununurra,42,AU,1584160834,39,-15.77,128.73,98.6,9.17
Bethel,1,US,1584160834,28,41.37,-73.41,50.0,12.75
Reyes,100,BO,1584160834,90,-14.32,-67.38,73.53,2.15
Santa Marinella,75,IT,1584160834,93,42.03,11.85,55.99,2.24
Moss Vale,90,AU,1584160834,63,-34.55,150.38,60.8,13.87
Sabang,1,ID,1584160834,76,5.89,95.32,84.25,14.16
Aksarka,100,RU,1584160834,100,66.56,67.8,32.27,8.28
Grants,90,US,1584160835,69,35.15,-107.85,39.2,8.05
Weihai,0,CN,1584160835,58,37.5,122.11,42.82,21.23
Lumsden,75,CA,1584160835,71,50.65,-104.87,5.0,9.17
San Policarpo,43,PH,1584160835,68,12.18,125.51,81.7,9.17
Carmelo,0,UY,1584160835,88,-33.99,-58.29,81.0,8.05
Sorong,100,ID,1584160835,84,-0.88,131.25,83.79,3.94
Alberton,81,CA,1584160835,67,46.82,-64.07,36.0,21.63
Rzeszów,20,PL,1584160835,69,50.04,22.0,41.0,13.87
Manakara,67,MG,1584160835,87,-22.13,48.02,78.46,4.03
Yulara,0,AU,1584160836,16,-25.24,130.99,96.8,11.41
Ust'-Kan,68,RU,1584160836,80,50.93,84.76,30.02,13.67
Quatre Cocos,75,MU,1584160458,94,-20.21,57.76,82.99,2.24
Vila,35,PT,1584160836,93,42.03,-8.16,51.01,3.36
Ahipara,77,NZ,1584160836,69,-35.17,173.17,68.61,5.26
Ubari,0,LY,1584160836,32,26.59,12.78,54.68,9.37
Xining,83,CN,1584160836,19,36.62,101.77,43.2,2.48
Hospet,0,IN,1584160746,25,15.27,76.4,92.93,8.19
Panguna,55,PG,1584160453,63,-6.32,155.48,83.57,2.19
Marsh Harbour,31,BS,1584160837,85,26.54,-77.06,72.64,13.51
Gladstone,40,AU,1584160837,40,-23.85,151.25,86.0,12.75
Mikhaylovka,100,RU,1584160837,86,50.06,43.24,41.0,9.08
Puerto Carreño,97,CO,1584160837,83,6.19,-67.49,77.09,5.91
Taft,75,IR,1584160837,14,31.75,54.21,60.8,9.17
Stanley,75,FK,1584160567,93,-51.7,-57.85,50.0,20.8
Staraya Poltavka,100,RU,1584160837,84,50.48,46.48,41.9,1.52
Chongwe,98,ZM,1584160837,89,-15.33,28.68,65.17,7.78
Vieques,40,PR,1584160838,88,18.43,-65.83,73.99,4.7
Posse,99,BR,1584160838,96,-14.09,-46.37,68.79,0.87
Kirillov,75,RU,1584160838,80,59.86,38.38,30.2,8.95
Luga,100,RU,1584160838,55,58.74,29.85,27.77,8.63
Puerto Madero,5,MX,1584160838,83,14.72,-92.42,80.6,7.72
Pestyaki,46,RU,1584160838,95,56.71,42.67,34.14,8.48
Hakkâri Province,100,TR,1584160838,100,37.58,44.17,31.75,3.2
Bograd,100,RU,1584160838,96,54.23,90.83,32.0,2.24
Bereda,90,ES,1584160839,100,43.27,-7.54,46.0,3.36
Iquique,79,CL,1584160839,68,-20.22,-70.14,71.6,6.93
Kawalu,100,ID,1584160317,66,-7.38,108.21,83.44,3.6
Vardø,100,NO,1584160770,76,70.37,31.11,20.16,22.75
Pasil,51,PH,1584160839,51,17.38,121.13,79.47,1.45
Kudahuvadhoo,35,MV,1584160839,72,2.67,72.89,83.95,9.08
Chenzhou,85,CN,1584160743,70,25.8,113.03,62.64,5.91
Esperance,90,AU,1584160839,68,-33.87,121.9,71.6,13.87
Khandyga,3,RU,1584160839,82,62.67,135.6,-6.61,2.53
Colborne,5,CA,1584160840,51,44.0,-77.88,37.99,24.16
Vilhena,100,BR,1584160840,98,-12.74,-60.15,70.74,2.48
Tutóia,100,BR,1584160840,94,-2.76,-42.27,71.53,6.89
Pacific Grove,75,US,1584160837,71,36.62,-121.92,55.4,14.99
Manadhoo,4,MV,1584160840,74,5.77,73.38,83.97,13.22
Cap-aux-Meules,100,CA,1584160840,95,47.38,-61.86,37.02,25.28
Palora,100,EC,1584160840,98,-1.7,-77.93,65.73,3.42
Laranja da Terra,11,BR,1584160840,96,-19.9,-41.06,64.63,2.48
Tuy Hoa,36,VN,1584160840,71,13.08,109.3,79.97,5.93
Kalemie,100,CD,1584160841,93,-5.95,29.19,68.07,1.1
Koslan,100,RU,1584160841,92,63.46,48.9,27.03,7.25
Peniche,20,PT,1584160841,87,39.36,-9.38,55.99,9.17
Saktī,99,IN,1584160841,54,22.03,82.97,81.81,10.74
Cabo San Lucas,40,MX,1584160808,68,22.89,-109.91,72.0,10.94
Muros,40,ES,1584160841,100,42.78,-9.06,46.99,4.7
Kletskaya,100,RU,1584160841,86,49.31,43.06,41.0,11.79
Linda,75,US,1584160841,71,39.13,-121.55,59.0,13.87
Byron Bay,75,AU,1584160841,54,-28.65,153.62,78.8,17.22
Mattru,0,SL,1584160713,92,7.62,-11.83,76.01,2.55
Dudinka,75,RU,1584160726,88,69.41,86.18,32.0,29.08
Margate,75,GB,1584160684,87,51.38,1.39,46.4,9.17
Morant Bay,20,JM,1584160842,69,17.88,-76.41,78.8,6.93
Emerald,40,AU,1584160842,37,-23.53,148.17,86.0,16.11
Trairi,100,BR,1584160825,93,-3.28,-39.27,73.26,1.77
Solnechnyy,100,RU,1584160842,82,50.72,136.63,13.53,4.09
Port Hedland,9,AU,1584160842,41,-20.32,118.57,95.0,5.82
Dingle,72,PH,1584160842,54,11.0,122.67,87.46,10.33
Shibetsu,20,JP,1584160842,43,43.66,145.13,35.6,8.05
Tombouctou,0,ML,1584160842,15,20.0,-3.0,68.83,6.11
Mâncio Lima,92,BR,1584160843,81,-7.61,-72.9,76.75,0.96
Oussouye,0,SN,1584160843,44,12.48,-16.55,78.8,9.17
Mount Isa,0,AU,1584160843,22,-20.73,139.5,91.4,13.87
Bumba,100,CD,1584160775,83,2.18,22.47,73.71,4.0
Balkhash,93,KZ,1584160843,94,46.84,74.98,32.0,11.18
Flinders,90,AU,1584160843,63,-34.58,150.86,60.8,13.87
